Meeting|Topics|Speaker|Segment ID
ES2002b|ES2002b=Target audience|A|61
ES2002b|ES2002b=Target audience|D|725
ES2002c|ES2002c=Light option|D|836
ES2002c|ES2002c=Light option|A|71
ES2002c|ES2002c=Light option|B|357
ES2002c|ES2002c=Light option|D|838
ES2002c|ES2002c=Light option|D|840
ES2002c|ES2002c=Light option|B|359
ES2002c|ES2002c=Light option|D|842
ES2002c|ES2002c=Light option|D|844
ES2002c|ES2002c=Light option|D|846
ES2002c|ES2002c=Light option|B|361
ES2002c|ES2002c=Light option|B|363
ES2002c|ES2002c=Light option|A|73
ES2002c|ES2002c=Light option|D|848
ES2002c|ES2002c=Light option|D|850
ES2002c|ES2002c=Light option|A|75
ES2002c|ES2002c=Light option|B|365
ES2002c|ES2002c=Light option|A|77
ES2002c|ES2002c=Light option|B|367
ES2002c|ES2002c=Light option|A|79
ES2002c|ES2002c=Light option|D|852
ES2002c|ES2002c=Light option|D|854
ES2002c|ES2002c=Light option|B|369
ES2002c|ES2002c=Light option|A|81
ES2002c|ES2002c=Light option|D|856
ES2002c|ES2002c=Light option|B|371
ES2002c|ES2002c=Light option|A|83
ES2002c|ES2002c=Light option|D|858
ES2002c|ES2002c=Light option|D|860
ES2002c|ES2002c=Light option|B|373
ES2002c|ES2002c=Light option|B|375
ES2002c|ES2002c=Light option|D|862
ES2002c|ES2002c=Light option|D|864
ES2002c|ES2002c=Light option|B|377
ES2002c|ES2002c=Light option|D|866
ES2002c|ES2002c=Remote shape|A|89
ES2002c|ES2002c=Remote shape|D|889
ES2002c|ES2002c=Remote shape|B|406
ES2002c|ES2002c=Remote shape|A|91
ES2002c|ES2002c=Remote shape|D|891
ES2002c|ES2002c=Remote shape|B|408
ES2002c|ES2002c=Remote shape|A|93
ES2002c|ES2002c=Remote shape|C|621
ES2002c|ES2002c=Remote shape|D|893
ES2002c|ES2002c=Remote shape|B|409
ES2002c|ES2002c=Remote shape|B|411
ES2002c|ES2002c=Remote shape|D|895
ES2002c|ES2002c=Remote shape|D|897
ES2002c|ES2002c=Remote shape|B|413
ES2002c|ES2002c=Remote shape|D|899
ES2002c|ES2002c=Remote shape|C|623
ES2002c|ES2002c=Remote shape|B|415
ES2002c|ES2002c=Remote shape|C|625
ES2002c|ES2002c=Remote shape|B|417
ES2002c|ES2002c=Remote shape|B|419
ES2002c|ES2002c=Remote shape|D|901
ES2002c|ES2002c=Remote shape|D|903
ES2002c|ES2002c=Remote shape|B|421
ES2002c|ES2002c=Remote shape|D|905
ES2002c|ES2002c=Remote shape|B|423
ES2002c|ES2002c=Remote shape|C|627
ES2002c|ES2002c=Remote shape|D|907
ES2002c|ES2002c=Remote shape|C|629
ES2002c|ES2002c=Remote shape|D|909
ES2002c|ES2002c=Remote shape|B|425
ES2002c|ES2002c=Remote shape|D|911
ES2002c|ES2002c=Remote shape|B|427
ES2002c|ES2002c=Remote shape|D|913
ES2002c|ES2002c=Remote shape|B|429
ES2002c|ES2002c=LCD display|B|437
ES2002c|ES2002c=LCD display|C|637
ES2002c|ES2002c=LCD display|A|95
ES2002c|ES2002c=LCD display|B|439
ES2002c|ES2002c=LCD display|A|97
ES2002c|ES2002c=LCD display|D|919
ES2002c|ES2002c=LCD display|D|921
ES2002c|ES2002c=LCD display|D|923
ES2002c|ES2002c=LCD display|B|441
ES2002c|ES2002c=LCD display|A|99
ES2002c|ES2002c=LCD display|A|101
ES2002c|ES2002c=LCD display|D|925
ES2002c|ES2002c=LCD display|B|443
ES2002c|ES2002c=LCD display|B|445
ES2002c|ES2002c=LCD display|B|447
ES2002c|ES2002c=LCD display|D|927
ES2002c|ES2002c=LCD display|A|103
ES2002c|ES2002c=Technology|D|964
ES2002c|ES2002c=Technology|B|485
ES2002c|ES2002c=Technology|B|487
ES2002c|ES2002c=Technology|B|489
ES2002c|ES2002c=Technology|B|491
ES2002c|ES2002c=Technology|D|966
ES2002c|ES2002c=Technology|A|121
ES2002c|ES2002c=Technology|D|968
ES2002c|ES2002c=Technology|B|493
ES2002c|ES2002c=Technology|D|970
ES2002c|ES2002c=Technology|C|649
ES2002c|ES2002c=Technology|D|972
ES2002c|ES2002c=Technology|B|495
ES2002c|ES2002c=Technology|D|974
ES2002c|ES2002c=Technology|A|123
ES2002c|ES2002c=Technology|D|976
ES2002c|ES2002c=Technology|A|125
ES2002c|ES2002c=Technology|A|127
ES2002c|ES2002c=Technology|D|978
ES2002c|ES2002c=Technology|D|980
ES2002c|ES2002c=Technology|D|982
ES2002c|ES2002c=Technology|D|984
ES2002c|ES2002c=Technology|D|986
ES2002c|ES2002c=Technology|B|497
ES2002c|ES2002c=Technology|A|129
ES2002c|ES2002c=Technology|B|499
ES2002c|ES2002c=Technology|D|988
ES2002d|ES2002d=Remote size|B|351
ES2002d|ES2002d=Remote size|B|353
ES2002d|ES2002d=Remote size|D|1463
ES2002d|ES2002d=Remote size|B|355
ES2002d|ES2002d=Remote size|C|875
ES2002d|ES2002d=Remote size|A|25
ES2002d|ES2002d=Remote size|A|27
ES2002d|ES2002d=Remote size|C|877
ES2002d|ES2002d=Remote size|C|879
ES2002d|ES2002d=Remote size|A|29
ES2002d|ES2002d=Remote size|B|357
ES2002d|ES2002d=Remote size|B|358
ES2002d|ES2002d=Remote size|C|881
ES2002d|ES2002d=Remote size|C|883
ES2002d|ES2002d=Remote size|A|31
ES2002d|ES2002d=Remote size|A|33
ES2002d|ES2002d=Remote size|C|885
ES2002d|ES2002d=Remote size|B|360
ES2002d|ES2002d=Remote size|B|362
ES2002d|ES2002d=Remote size|C|887
ES2002d|ES2002d=Remote width|A|38
ES2002d|ES2002d=Remote width|D|1473
ES2002d|ES2002d=Remote width|D|1475
ES2002d|ES2002d=Remote width|B|372
ES2002d|ES2002d=Remote width|C|895
ES2002d|ES2002d=Remote width|A|40
ES2002d|ES2002d=Remote width|C|897
ES2002d|ES2002d=Remote width|D|1477
ES2002d|ES2002d=Remote width|B|374
ES2002d|ES2002d=Remote width|A|42
ES2002d|ES2002d=Remote width|D|1479
ES2002d|ES2002d=Remote width|C|899
ES2002d|ES2002d=Remote width|D|1481
ES2002d|ES2002d=Remote width|B|376
ES2002d|ES2002d=Remote width|A|44
ES2002d|ES2002d=Remote width|C|901
ES2002d|ES2002d=Remote width|C|903
ES2002d|ES2002d=Jog dial use|B|382
ES2002d|ES2002d=Jog dial use|C|905
ES2002d|ES2002d=Jog dial use|D|1487
ES2002d|ES2002d=Jog dial use|B|384
ES2002d|ES2002d=Jog dial use|D|1489
ES2002d|ES2002d=Jog dial use|D|1491
ES2002d|ES2002d=Jog dial use|B|386
ES2002d|ES2002d=Jog dial use|D|1493
ES2002d|ES2002d=Jog dial use|A|46
ES2002d|ES2002d=Jog dial use|B|388
ES2002d|ES2002d=Jog dial use|B|390
ES2002d|ES2002d=Jog dial use|A|48
ES2002d|ES2002d=Jog dial use|A|50
ES2002d|ES2002d=Jog dial use|C|907
ES2002d|ES2002d=Jog dial use|B|392
ES2002d|ES2002d=Jog dial use|C|909
ES2002d|ES2002d=Jog dial use|A|52
ES2002d|ES2002d=Jog dial use|A|54
ES2002d|ES2002d=Jog dial use|B|394
ES2002d|ES2002d=Jog dial use|C|911
ES2002d|ES2002d=Jog dial use|B|396
ES2002d|ES2002d=Jog dial use|C|913
ES2002d|ES2002d=Jog dial use|A|56
ES2002d|ES2002d=Jog dial use|D|1495
ES2002d|ES2002d=Jog dial use|D|1497
ES2002d|ES2002d=Jog dial use|A|58
ES2002d|ES2002d=Jog dial use|A|60
ES2002d|ES2002d=Jog dial use|B|398
ES2002d|ES2002d=Jog dial use|C|915
ES2002d|ES2002d=Jog dial use|B|400
ES2002d|ES2002d=Jog dial use|C|917
ES2002d|ES2002d=Jog dial use|A|62
ES2002d|ES2002d=Remote height|C|973
ES2002d|ES2002d=Remote height|A|160
ES2002d|ES2002d=Remote height|C|975
ES2002d|ES2002d=Remote height|B|499
ES2002d|ES2002d=Remote height|A|162
ES2002d|ES2002d=Remote height|A|164
ES2002d|ES2002d=Remote height|B|501
ES2002d|ES2002d=Remote height|C|977
ES2002d|ES2002d=Remote height|B|503
ES2002d|ES2002d=Remote height|D|1543
ES2002d|ES2002d=Remote height|A|166
ES2002d|ES2002d=Remote height|C|979
ES2002d|ES2002d=Remote height|A|168
ES2002d|ES2002d=Remote height|A|170
ES2002d|ES2002d=Remote height|C|981
ES2002d|ES2002d=Remote height|D|1545
ES2002d|ES2002d=Remote height|B|505
ES2002d|ES2002d=Remote height|C|983
ES2002d|ES2002d=Remote height|A|172
ES2002d|ES2002d=Leadership|B|673
ES2002d|ES2002d=Leadership|A|247
ES2002d|ES2002d=Leadership|B|675
ES2002d|ES2002d=Leadership|A|249
ES2002d|ES2002d=Leadership|C|1224
ES2002d|ES2002d=Leadership|B|677
ES2002d|ES2002d=Leadership|C|1226
ES2002d|ES2002d=Leadership|B|679
ES2002d|ES2002d=Leadership|C|1228
ES2002d|ES2002d=Leadership|A|251
ES2002d|ES2002d=Leadership|B|681
ES2002d|ES2002d=Leadership|C|1230
ES2002d|ES2002d=Leadership|A|253
ES2002d|ES2002d=Leadership|B|683
ES2002d|ES2002d=Leadership|C|1232
ES2002d|ES2002d=Leadership|B|685
ES2002d|ES2002d=Leadership|A|255
ES2002d|ES2002d=Leadership|C|1234
ES2002d|ES2002d=Leadership|A|257
ES2002d|ES2002d=Leadership|C|1236
ES2002d|ES2002d=Leadership|C|1237
ES2002d|ES2002d=Leadership|C|1239
ES2002d|ES2002d=Leadership|C|1241
ES2002d|ES2002d=Leadership|B|687
ES2002d|ES2002d=Leadership|C|1243
ES2002d|ES2002d=Leadership|C|1245
ES2002d|ES2002d=Leadership|C|1247
ES2002d|ES2002d=Leadership|B|689
ES2002d|ES2002d=Leadership|C|1249
ES2002d|ES2002d=Leadership|C|1251
ES2002d|ES2002d=Leadership|B|691
ES2002d|ES2002d=Leadership|C|1253
ES2002d|ES2002d=Teamwork|B|693
ES2002d|ES2002d=Teamwork|C|1255
ES2002d|ES2002d=Teamwork|D|1595
ES2002d|ES2002d=Teamwork|C|1257
ES2002d|ES2002d=Teamwork|B|695
ES2002d|ES2002d=Teamwork|D|1597
ES2002d|ES2002d=Teamwork|C|1259
ES2002d|ES2002d=Teamwork|B|697
ES2002d|ES2002d=Teamwork|C|1261
ES2002d|ES2002d=Teamwork|A|259
ES2002d|ES2002d=Teamwork|C|1263
ES2002d|ES2002d=Teamwork|B|699
ES2002d|ES2002d=Teamwork|C|1265
ES2002d|ES2002d=Teamwork|B|701
ES2002d|ES2002d=Teamwork|C|1267
ES2002d|ES2002d=Teamwork|D|1599
ES2002d|ES2002d=Teamwork|A|261
ES2002d|ES2002d=Teamwork|C|1269
ES2002d|ES2002d=Teamwork|A|263
ES2002d|ES2002d=Teamwork|C|1271
ES2002d|ES2002d=Teamwork|C|1273
ES2002d|ES2002d=Teamwork|A|265
ES2002d|ES2002d=Teamwork|C|1275
ES2002d|ES2002d=Teamwork|B|703
ES2002d|ES2002d=Teamwork|C|1277
ES2002d|ES2002d=Teamwork|C|1279
ES2002d|ES2002d=Teamwork|B|705
ES2002d|ES2002d=Teamwork|C|1280
ES2002d|ES2002d=Teamwork|A|267
ES2002d|ES2002d=Teamwork|B|707
ES2002d|ES2002d=Teamwork|B|709
ES2002d|ES2002d=Teamwork|B|711
ES2002d|ES2002d=Teamwork|B|713
ES2002d|ES2002d=Teamwork|B|715
ES2002d|ES2002d=Teamwork|A|269
ES2002d|ES2002d=Teamwork|C|1282
ES2002d|ES2002d=Digital pens|B|747
ES2002d|ES2002d=Digital pens|A|275
ES2002d|ES2002d=Digital pens|C|1319
ES2002d|ES2002d=Digital pens|D|1603
ES2002d|ES2002d=Digital pens|B|749
ES2002d|ES2002d=Digital pens|C|1321
ES2002d|ES2002d=Digital pens|C|1323
ES2002d|ES2002d=Digital pens|B|751
ES2002d|ES2002d=Digital pens|C|1325
ES2002d|ES2002d=Digital pens|A|277
ES2002d|ES2002d=Digital pens|B|753
ES2002d|ES2002d=Digital pens|C|1327
ES2002d|ES2002d=Digital pens|B|754
ES2002d|ES2002d=Digital pens|B|756
ES2002d|ES2002d=Digital pens|C|1329
ES2002d|ES2002d=Digital pens|C|1331
ES2002d|ES2002d=Digital pens|C|1333
ES2002d|ES2002d=Digital pens|C|1334
ES2002d|ES2002d=Digital pens|A|279
ES2002d|ES2002d=Digital pens|C|1336
ES2002d|ES2002d=Digital pens|B|758
ES2003a|ES2003a=Marktpositie AB|B|95
ES2003a|ES2003a=Marktpositie AB|A|13
ES2003a|ES2003a=Marktpositie AB|B|97
ES2003a|ES2003a=Marktpositie AB|B|99
ES2003a|ES2003a=Marktpositie AB|A|15
ES2003a|ES2003a=Marktpositie AB|C|195
ES2003a|ES2003a=Marktpositie AB|A|17
ES2003a|ES2003a=Marktpositie AB|B|101
ES2003a|ES2003a=Marktpositie AB|A|19
ES2003a|ES2003a=Marktpositie AB|B|103
ES2003a|ES2003a=Marktpositie AB|C|197
ES2003a|ES2003a=Marktpositie AB|B|105
ES2003a|ES2003a=Marktpositie AB|C|199
ES2003a|ES2003a=Marktpositie AB|A|21
ES2003a|ES2003a=Marktpositie AB|B|107
ES2003a|ES2003a=Marktpositie AB|C|201
ES2003a|ES2003a=Marktpositie AB|B|109
ES2003a|ES2003a=Marktpositie AB|B|111
ES2003a|ES2003a=Marktpositie AB|D|263
ES2003a|ES2003a=Marktpositie AB|A|23
ES2003a|ES2003a=Marktpositie AB|C|203
ES2003a|ES2003a=Marktpositie AB|C|205
ES2003a|ES2003a=Marktpositie AB|C|207
ES2003a|ES2003a=Marktpositie AB|B|113
ES2003a|ES2003a=Marktpositie AB|C|209
ES2003a|ES2003a=User wishes|B|119
ES2003a|ES2003a=User wishes|C|215
ES2003a|ES2003a=User wishes|D|267
ES2003a|ES2003a=User wishes|D|269
ES2003a|ES2003a=User wishes|C|217
ES2003a|ES2003a=User wishes|D|271
ES2003a|ES2003a=User wishes|C|219
ES2003a|ES2003a=User wishes|B|121
ES2003a|ES2003a=User wishes|D|273
ES2003a|ES2003a=User wishes|B|123
ES2003a|ES2003a=User wishes|A|27
ES2003a|ES2003a=User wishes|A|29
ES2003a|ES2003a=User wishes|A|31
ES2003a|ES2003a=User wishes|B|125
ES2003a|ES2003a=User wishes|B|127
ES2003a|ES2003a=User wishes|A|33
ES2003a|ES2003a=User wishes|B|129
ES2003a|ES2003a=User wishes|B|131
ES2003b|ES2003b=Joystick use|A|41
ES2003b|ES2003b=Joystick use|B|220
ES2003b|ES2003b=Joystick use|D|560
ES2003b|ES2003b=Joystick use|A|43
ES2003b|ES2003b=Joystick use|D|562
ES2003b|ES2003b=Joystick use|C|415
ES2003b|ES2003b=Joystick use|A|45
ES2003b|ES2003b=Joystick use|A|47
ES2003b|ES2003b=Joystick use|B|222
ES2003b|ES2003b=Joystick use|A|49
ES2003b|ES2003b=Joystick use|B|224
ES2003b|ES2003b=Joystick use|C|417
ES2003b|ES2003b=Joystick use|B|226
ES2003b|ES2003b=Joystick use|C|419
ES2003b|ES2003b=Joystick use|A|51
ES2003b|ES2003b=Joystick use|C|421
ES2003b|ES2003b=Joystick use|C|423
ES2003b|ES2003b=Joystick use|B|228
ES2003b|ES2003b=Joystick use|A|53
ES2003b|ES2003b=Joystick use|C|425
ES2003b|ES2003b=Joystick use|C|427
ES2003b|ES2003b=Joystick use|C|429
ES2003b|ES2003b=Joystick use|C|431
ES2003b|ES2003b=Joystick use|A|55
ES2003b|ES2003b=Joystick use|A|57
ES2003b|ES2003b=Joystick use|B|230
ES2003b|ES2003b=Remote purpose|B|260
ES2003b|ES2003b=Remote purpose|B|262
ES2003b|ES2003b=Remote purpose|A|95
ES2003b|ES2003b=Remote purpose|A|97
ES2003b|ES2003b=Remote purpose|D|568
ES2003b|ES2003b=Remote purpose|A|99
ES2003b|ES2003b=Remote purpose|B|264
ES2003b|ES2003b=Remote purpose|A|101
ES2003b|ES2003b=Remote purpose|A|103
ES2003b|ES2003b=Remote purpose|D|570
ES2003b|ES2003b=Remote purpose|C|467
ES2003b|ES2003b=Remote purpose|B|266
ES2003b|ES2003b=Remote purpose|D|572
ES2003b|ES2003b=Remote purpose|B|268
ES2003b|ES2003b=Remote purpose|B|270
ES2003b|ES2003b=Remote purpose|B|272
ES2003b|ES2003b=Remote purpose|C|469
ES2003b|ES2003b=Remote purpose|C|471
ES2003b|ES2003b=Remote purpose|B|274
ES2003b|ES2003b=Remote purpose|B|276
ES2003b|ES2003b=Remote purpose|A|105
ES2003b|ES2003b=Remote purpose|A|107
ES2003b|ES2003b=Remote purpose|B|278
ES2003b|ES2003b=Remote purpose|B|280
ES2003b|ES2003b=Remote purpose|A|109
ES2003b|ES2003b=Remote purpose|C|473
ES2003b|ES2003b=Remote purpose|B|282
ES2003b|ES2003b=Remote purpose|A|111
ES2003b|ES2003b=Remote purpose|B|284
ES2003b|ES2003b=Remote purpose|D|574
ES2003b|ES2003b=Remote purpose|B|286
ES2003b|ES2003b=Remote purpose|C|475
ES2003b|ES2003b=Remote purpose|B|288
ES2003b|ES2003b=Remote purpose|C|477
ES2003b|ES2003b=Remote purpose|D|576
ES2003b|ES2003b=Remote purpose|A|113
ES2003b|ES2003b=Remote purpose|C|479
ES2003b|ES2003b=Remote purpose|B|290
ES2003b|ES2003b=Remote purpose|D|578
ES2003b|ES2003b=Remote purpose|A|115
ES2003b|ES2003b=Remote purpose|B|292
ES2003b|ES2003b=Remote purpose|D|580
ES2003b|ES2003b=Remote purpose|B|294
ES2003b|ES2003b=Remote purpose|C|481
ES2003b|ES2003b=Remote purpose|D|582
ES2003b|ES2003b=Remote purpose|B|296
ES2003b|ES2003b=Remote purpose|C|483
ES2003b|ES2003b=Remote purpose|C|485
ES2003b|ES2003b=Remote purpose|C|487
ES2003b|ES2003b=Remote purpose|D|584
ES2003b|ES2003b=Remote purpose|A|117
ES2003b|ES2003b=Remote purpose|B|298
ES2003b|ES2003b=Remote purpose|B|300
ES2003b|ES2003b=Remote purpose|C|489
ES2003b|ES2003b=Remote purpose|A|119
ES2003b|ES2003b=Remote purpose|B|302
ES2003b|ES2003b=Remote purpose|A|121
ES2003b|ES2003b=Remote purpose|B|304
ES2003b|ES2003b=Remote purpose|C|491
ES2003b|ES2003b=Remote purpose|B|306
ES2003b|ES2003b=Remote purpose|C|493
ES2003b|ES2003b=Remote purpose|C|495
ES2003b|ES2003b=Remote purpose|C|497
ES2003b|ES2003b=Remote purpose|C|499
ES2003c|ES2003c=Three types of batteries|D|565
ES2003c|ES2003c=Three types of batteries|D|567
ES2003c|ES2003c=Three types of batteries|B|177
ES2003c|ES2003c=Three types of batteries|D|569
ES2003c|ES2003c=Three types of batteries|B|179
ES2003c|ES2003c=Three types of batteries|C|353
ES2003c|ES2003c=Three types of batteries|D|571
ES2003c|ES2003c=Three types of batteries|C|355
ES2003c|ES2003c=Three types of batteries|A|5
ES2003c|ES2003c=Three types of batteries|A|7
ES2003c|ES2003c=Three types of batteries|B|181
ES2003c|ES2003c=Three types of batteries|D|573
ES2003c|ES2003c=Three types of batteries|C|357
ES2003c|ES2003c=Three types of batteries|B|183
ES2003c|ES2003c=Three types of batteries|D|575
ES2003c|ES2003c=Three types of batteries|D|577
ES2003c|ES2003c=Three types of batteries|C|359
ES2003c|ES2003c=Three types of batteries|D|579
ES2003c|ES2003c=Three types of batteries|D|581
ES2003c|ES2003c=Three types of batteries|D|583
ES2003c|ES2003c=Three types of batteries|D|585
ES2003c|ES2003c=Three types of batteries|B|185
ES2003c|ES2003c=Three types of batteries|D|587
ES2003c|ES2003c=Three types of batteries|D|589
ES2003c|ES2003c=Manufacturer codes|C|443
ES2003c|ES2003c=Manufacturer codes|C|445
ES2003c|ES2003c=Manufacturer codes|A|92
ES2003c|ES2003c=Manufacturer codes|A|94
ES2003c|ES2003c=Manufacturer codes|B|287
ES2003c|ES2003c=Manufacturer codes|C|447
ES2003c|ES2003c=Manufacturer codes|A|96
ES2003c|ES2003c=Manufacturer codes|C|449
ES2003c|ES2003c=Manufacturer codes|C|451
ES2003c|ES2003c=Manufacturer codes|A|98
ES2003c|ES2003c=Manufacturer codes|C|453
ES2003c|ES2003c=Manufacturer codes|A|100
ES2003c|ES2003c=Manufacturer codes|A|102
ES2003c|ES2003c=Manufacturer codes|B|289
ES2003c|ES2003c=Manufacturer codes|A|104
ES2003c|ES2003c=Manufacturer codes|A|106
ES2003c|ES2003c=Manufacturer codes|C|455
ES2003c|ES2003c=Manufacturer codes|A|108
ES2003c|ES2003c=Manufacturer codes|C|457
